Term: 	 DF 	 [DOCID, TF, Max_TF, DocLen] 
0:	69	[[44, 1, 7, 195], [59, 1, 8, 169], [104, 1, 5, 87], [131, 1, 9, 229], [157, 1, 7, 158], [174, 1, 13, 210], [193, 1, 15, 298], [206, 1, 7, 187], [225, 2, 15, 264], [282, 2, 10, 182], [289, 1, 9, 166], [304, 1, 6, 201], [314, 2, 7, 134], [325, 1, 5, 163], [423, 1, 10, 228], [452, 1, 7, 214], [459, 1, 7, 187], [474, 1, 6, 110], [478, 2, 3, 60], [479, 2, 5, 116], [514, 1, 3, 74], [521, 1, 4, 107], [522, 1, 9, 268], [548, 2, 13, 227], [564, 2, 10, 195], [566, 1, 6, 140], [605, 1, 6, 123], [634, 2, 4, 107], [673, 1, 27, 276], [685, 2, 10, 234], [696, 1, 11, 216], [699, 2, 10, 145], [700, 1, 4, 83], [709, 1, 8, 160], [734, 1, 7, 142], [738, 1, 7, 98], [748, 6, 7, 124], [757, 1, 14, 233], [759, 1, 6, 152], [760, 1, 6, 123], [766, 2, 13, 182], [793, 2, 5, 123], [794, 3, 8, 225], [797, 2, 9, 241], [812, 1, 6, 132], [857, 1, 14, 162], [858, 1, 10, 147], [859, 1, 15, 199], [946, 1, 13, 249], [948, 1, 10, 143], [992, 1, 14, 231], [999, 2, 15, 171], [1003, 1, 5, 111], [1022, 1, 3, 51], [1028, 1, 9, 131], [1062, 1, 5, 79], [1066, 1, 11, 255], [1195, 1, 17, 191], [1250, 1, 5, 184], [1251, 2, 9, 135], [1285, 1, 3, 51], [1289, 1, 8, 178], [1292, 1, 11, 199], [1307, 1, 8, 203], [1337, 1, 5, 109], [1339, 1, 5, 159], [1344, 1, 10, 157], [1349, 1, 8, 152], [1351, 1, 10, 231]]
000:	50	[[53, 2, 11, 159], [76, 2, 7, 142], [85, 4, 12, 199], [129, 1, 11, 176], [272, 2, 19, 345], [280, 2, 6, 96], [328, 1, 4, 203], [346, 1, 5, 132], [401, 3, 9, 234], [423, 2, 10, 228], [436, 1, 2, 54], [438, 2, 3, 65], [443, 2, 6, 158], [493, 3, 9, 222], [524, 2, 3, 61], [536, 2, 8, 215], [554, 2, 7, 116], [569, 1, 7, 202], [576, 2, 13, 324], [805, 4, 7, 167], [806, 4, 8, 194], [807, 6, 6, 93], [811, 1, 13, 224], [858, 1, 10, 147], [884, 1, 4, 54], [948, 1, 10, 143], [949, 2, 4, 95], [976, 9, 14, 321], [1000, 2, 4, 150], [1003, 2, 5, 111], [1009, 1, 6, 117], [1010, 1, 7, 110], [1011, 1, 3, 46], [1040, 1, 14, 364], [1065, 1, 4, 110], [1096, 3, 3, 78], [1098, 1, 5, 122], [1100, 1, 4, 98], [1134, 1, 8, 191], [1147, 1, 13, 304], [1157, 2, 8, 146], [1161, 2, 3, 91], [1166, 1, 11, 161], [1214, 1, 6, 143], [1229, 2, 9, 220], [1274, 1, 9, 183], [1292, 4, 11, 199], [1319, 1, 9, 186], [1324, 1, 5, 122], [1351, 2, 10, 231]]
0000:	1	[[1257, 1, 4, 108]]
00001:	2	[[117, 1, 3, 95], [302, 1, 7, 98]]
0001:	2	[[972, 1, 7, 140], [1128, 1, 7, 87]]
0002:	1	[[1324, 1, 5, 122]]
0003:	1	[[1159, 1, 6, 96]]
0004:	1	[[1324, 1, 5, 122]]
000675:	1	[[1127, 1, 6, 143]]
000degre:	1	[[302, 1, 7, 98]]
000degreek:	2	[[572, 2, 7, 302], [1274, 1, 9, 183]]
000effici:	1	[[1204, 1, 6, 224]]
000k:	1	[[1314, 1, 5, 59]]
001:	2	[[300, 1, 8, 178], [778, 1, 5, 50]]
0010:	1	[[1069, 1, 2, 49]]
